SPA,1SPATIAL PLC
XUHA,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XUHC,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XUHG,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XUHY,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XUIN,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XUTC,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XWFS,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XWLD,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XWTS,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XYLD,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZBD,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZBU,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZEM,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZEU,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZEZ,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZHE,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZHS,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZHY,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZMD,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZMJ,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZMU,XTRACKERS (IE) PUBLIC LIMITED COMPANY
XZW0,XTRACKERS (IE) PUBLIC LIMITED COMPANY
CGB,XTRACKERS II
X71U,XTRACKERS II
X7GB,XTRACKERS II
XBAG,XTRACKERS II
XBGB,XTRACKERS II
XBGG,XTRACKERS II
XBLC,XTRACKERS II
XBUS,XTRACKERS II
XCS2,XTRACKERS II
XFFE,XTRACKERS II
XG7S,XTRACKERS II
XG7U,XTRACKERS II
XGGB,XTRACKERS II
XGIG,XTRACKERS II
XGIU,XTRACKERS II
XGLB,XTRACKERS II
XGLE,XTRACKERS II
XGLU,XTRACKERS II
XGSG,XTRACKERS II
XGSI,XTRACKERS II
XHYG,XTRACKERS II
XSTR,XTRACKERS II
XTIP,XTRACKERS II
XUEB,XTRACKERS II
XUEM,XTRACKERS II
XUS1,XTRACKERS II
XUST,XTRACKERS II
XUT3,XTRACKERS II
XUTD,XTRACKERS II
XZE5,XTRACKERS II
XZUD,XTRACKERS II
XZWG,XTRACKERS II
XZWS,XTRACKERS II
XTR,XTRACT RESOURCES PLC
AUY,YAMANA GOLD INC.
YCA,YELLOW CAKE PLC
YOU,YOUGOV PLC
YNGA,YOUNG & CO'S BREWERY PLC 
YNGN,YOUNG & CO'S BREWERY PLC 
YGEN,YOURGENE HEALTH PLC
YU.,YU GROUP PLC
ZAIM,ZAIM CREDIT SYSTEMS PLC
ZAMZ,ZAMAZ PLC
ZAM,ZAMBEEF PRODUCTS PLC
ZIOC,ZANAGA IRON ORE COMPANY LIMITED
ZCC,ZCCM INVESTMENTS HOLDINGS PLC
ZEG,ZEGONA COMMUNICATIONS PLC
ZENB,ZENITH BANK PLC 
ZEN,ZENITH ENERGY LTD.
ZED,ZENOVA GROUP PLC
ZPHR,ZEPHYR ENERGY PLC
ZHEH,ZHEJIANG EXPRESSWAY CO
ZIN,ZINC MEDIA GROUP PLC
ZNWD,ZINNWALD LITHIUM PLC
ZOO,ZOO DIGITAL GROUP PLC
ZTF,ZOTEFOAMS PLC
ZYT,ZYTRONIC PLC
,
,
